genes	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-11	CAS-DAC-12	CAS-DAC-13	CAS-DAC-14	CAS-DAC-15	CAS-DAC-16	CAS-DAC-18	CAS-DAC-19	CAS-DAC-2	CAS-DAC-20	CAS-DAC-21	CAS-DAC-22	CAS-DAC-23	CAS-DAC-24	CAS-DAC-25	CAS-DAC-26	CAS-DAC-27	CAS-DAC-28	CAS-DAC-29	CAS-DAC-3	CAS-DAC-30	CAS-DAC-31	CAS-DAC-32	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-36	CAS-DAC-37	CAS-DAC-38	CAS-DAC-39	CAS-DAC-4	CAS-DAC-41	CAS-DAC-42	CAS-NEN-1	CAS-NEN-2	CAS-ACC-1	CAS-DAC-5	CAS-DAC-6	CAS-DAC-7	CAS-NEN-3	CAS-DAC-8	CAS-DAC-9	NPC-4	NPC-5	NPC-7	CAS-DAC-65
CHGB	0	0	0.235932	0.0429497	0	0.010368	0.0133089	0	0.0295361	0	0.372611	0	0.194853	1.71176	0	0	0.0645508	0.184022	0.0258516	0	0	0.0385635	0.0133836	0.129847	0	0.200049	0.140125	0.0145389	0.157576	0.172429	0.203661	0	0.0805245	0	0.0135559	0.712873	1.10445	4.41395	1.04249	0	0.0238805	7952.53	0.333412	0.293912	0.394368	0.368169	0.282787	35.4249
CHGA	0.289268	0.222947	6.72253	0.611533	0.946956	0.323452	0.25082	0.676558	0.425975	0.143138	0.0486142	0.911208	0.39864	0.10804	0.278076	0.588773	0.172727	0.569869	0.34166	0.299641	2.33889	0.415275	0.772318	0.394877	0.531126	0.201077	0.20191	0.459042	0.370283	0.44537	0.381716	0.270343	9.11582	0.376604	0.373421	2.46828	2.14941	0.994112	49.6792	0.0984606	0.801347	7393.18	0.186298	27.8781	0.375169	0.115113	0.162944	392.218
S100A6	1969.57	2961.44	1996.69	2306.6	3604.32	856.137	989.181	2156.35	1920.49	1357.88	1325.32	1033.28	5197.69	1400.34	2075.11	2447.1	2679.98	1331.69	2235.85	1823.07	1821	3193.24	2957.49	3100.43	2840.62	1361.67	1744.5	1809.49	1254.93	1180.69	1008.02	1575.12	799.654	2011.53	1114.28	1172.49	0	113.304	1846.3	1033.81	2437.89	217.888	3060.18	1851	1394.94	1577.04	482.677	241.646
PAM	13.9419	48.3551	33.9279	31.2217	48.9112	30.4298	39.9389	41.2228	19.8603	35.056	46.5977	11.4357	40.2923	25.5546	26.2338	26.7821	31.5831	40.1087	27.4742	23.2167	28.0391	38.3175	20.1951	41.5311	47.9854	44.743	26.1394	44.7538	23.9825	19.0203	21.0122	39.2134	21.5253	40.0044	33.8845	67.1594	14.6554	7.53506	62.7283	37.851	43.1557	6573.49	54.608	40.8497	41.819	66.9537	31.6922	477.42
TFF2	642.256	264.597	396.744	249.88	207.991	28.6655	992.966	427.67	855.756	816.236	479.283	261.286	115.189	108.788	266.148	1150.05	438.632	571.343	322.854	16.0252	2429.52	188.749	109.094	794.423	489.746	674.59	1386.31	902.369	91.3107	834.401	190.41	104.913	3650.05	771.624	1.69281	15.3107	0	39.6542	316.352	510.262	3854.63	0	1966.63	1225.88	267.74	73.3165	1.96245	0
NOG	0	0.0153434	0.0896406	0.231007	0.264644	0	0.0288526	0	0.0315259	0.118326	0	0	0.0327917	0	0.0183744	0	0	0	0	0.0136786	0.051181	0.27615	0.0899876	0.0141265	0.0183434	0.0425	0	0.0976388	0	0	0	0.0422141	0.0154672	0.0182399	0.0182574	0.0154334	5301.37	0.0327261	0.0307313	0.464182	0	0	0.0289302	0.0912552	0.0378106	0.089298	0	0
SPINK4	71.6919	1012.35	836.534	566.611	122.877	92.9118	4.71462	4.68248	379.258	31.8973	98.0536	85.5345	259.79	218.597	20.1637	81.5116	208.435	575.139	815.74	59.0932	1957.17	147.062	4.26373	873.652	116.915	4.76036	1501.39	55.5826	10.4774	112.232	35.4052	10.8331	249.794	190.996	5.47403	0	0	579.018	1420.52	8.77258	38.0635	0	301.907	4348.24	82.4697	59.419	19.9817	14.2385
LYZ	589.534	609.274	1024.95	696.161	113.005	94.9734	335.624	776.6	787.68	413.127	423.375	356.232	322.958	83.1773	234.738	2534.18	111.691	625.022	1124.86	346.339	777.204	591.637	441.108	271.488	1627.26	158.091	314.392	814.091	806.386	814.301	1802.96	527.763	1747.97	568.633	227.11	1129.49	0.0336311	4.95855	1328.62	290.273	2548.34	6.17228	664.963	2610.26	2152.56	1682.73	2018.73	3.74449
SCARNA5	366.932	385.493	382.719	411.733	3432.67	657.729	181.51	1932.83	283.615	209.928	313.404	749.629	1655.21	1788.89	1789.77	1603.28	576.896	1390.25	1259.12	579.836	570.829	1836.97	449.645	1416.63	1051.14	505.002	438.84	1477.91	640.628	447.949	927.202	507.51	351.393	1250.43	1345.57	1187.17	534.639	688.93	659.895	247.468	632.848	196.895	597.033	1266.14	875.557	1012.48	1363.31	405.651
LCN2	1992.74	1836.28	438.128	712.514	350.078	920.365	509.485	834.463	1246.15	536.773	897.445	345.309	478.7	190.922	385.585	616.912	249.695	863.366	534.245	576.105	619.837	474.083	1552.13	381.464	2009.92	2012.17	426.063	365.673	1295.77	882.037	100.233	118.527	445.533	512.338	1536.55	78.76	0.0544535	1.07475	205.483	341.1	1261.7	0	1232.31	255.604	1075.21	1482.71	580.516	0.101057
TFF1	719.82	439.819	698.685	523.051	104.466	5.55619	219.86	359.963	723.545	79.4829	287.426	216.903	119.873	36.7672	217.214	486.506	597.89	292.606	213.274	85.3389	1090.53	552.808	836.36	466.454	1752.89	690.754	597.837	536.445	239.791	483.506	156.96	20.9936	1250.94	279.608	16.3871	2716.26	0	367.838	669.751	119.18	832.636	15.5146	847.271	2076.17	259.19	165.361	1.88106	7.50295
B2M	1193.04	1435.15	1095.4	1378.44	1011.71	1504.87	661.286	1115.22	1046.67	590.802	1315.87	318.787	1362.31	737.343	429.419	777.862	1088.5	833.641	1121.21	2125.43	1215.1	1347.16	1028.52	843.526	749.808	1192.04	747.213	542.081	1604.04	1946.36	758.092	1512.69	922.099	1525.32	1077.36	1408.36	82.6427	2851.93	940.234	705.112	1128.94	315.235	1502.57	807.621	1475.27	2460.87	801.374	964.911
RPS6	3574.9	421.328	215.84	209.454	186.33	130.636	138.653	213.559	388.168	151.687	182.949	137.551	235.728	212.073	116.983	181.914	143.504	214.899	405.25	163.703	221.982	319.02	148.969	389.408	342.46	133.026	535.406	560.292	162.076	300.098	263.556	170.152	260.456	103.577	125.243	294.3	435.559	187.77	366.946	146.875	178.531	137.861	220.282	241.209	141.007	144.73	205.863	139.25
OLFM4	6.34427	0.973489	16.5012	7.60385	0.449153	0.0265368	0.0548327	5.09739	3.65761	0.0563365	0.130466	12.3271	15.8298	5.99475	1.45948	865.478	0.0525644	612.775	1735.9	24.9206	77.6822	28.5834	2.54794	1808.03	345.658	2.47128	1893.86	5.16602	121.059	327.833	47.8493	7.68328	68.4586	0.417739	0.335392	0.019538	0	0.0417008	130.053	0.082673	1.75275	0	0.752863	456.069	30.0899	12.7171	72.2672	0
SCARNA7	979.883	1005.69	598.196	753.374	131.074	1202.01	834.254	204.239	781.062	750.074	615.59	838.556	107.844	126.305	97.5803	93.123	899.381	171.54	85.5652	819.201	1014.49	77.1603	1359.36	90.5622	141.879	1261.02	912.559	106.512	680.229	919.814	868.946	20.0724	848.88	91.0127	135.38	85.4382	36.3484	106.123	957.738	959.047	1040.48	123.345	1226.65	91.1662	106.881	175.06	213.835	23.6527
S100P	446.016	348.223	296.032	215.858	524.91	161.111	37.0543	1522.28	645.878	51.1791	172.276	391.721	602.781	240.829	1070.76	733.767	265.956	350.649	409.45	326.224	316.82	512.652	1602.22	718.758	1994.8	284.017	257.514	574.664	150.035	417.788	105.982	212.252	240.057	520.644	575.843	480.86	0.250841	92.8178	186.801	45.1846	361.093	0.585896	444.77	519.307	1.41989	0.30706	0.0981417	2.0522
RPS21	1011.65	702.63	800.609	676.907	743.898	781.455	499.621	845.178	709.127	446.504	892.518	546.081	1278.6	745.119	498.503	1909.41	493.621	1032.16	1681.29	658.418	689.36	1040.89	490.999	1069.7	1048.98	480.259	1111.53	851.207	746.352	591.308	773.849	958.901	1099.49	527.88	824.437	763.739	705.618	942.827	1606.16	582.189	614.153	208.666	1317.27	1768.27	367.6	483.05	588.681	249.36
KRT8	860.668	946.716	666.841	851.873	528.852	1216.46	574.72	1099.83	645.05	577.307	698.896	498.36	654.201	1469.6	689.209	1370.6	516.258	779.167	596.846	646.564	452.704	1522.18	378.319	547.695	522.462	485.907	430.798	661.194	721.642	343.349	209.108	306.055	765.184	630.598	648.971	283.477	8.77307	1189.96	680.568	559.833	616.181	29.7685	498.053	748.464	1309.09	1526.88	1059.65	177.688
RPS29	562.853	597.896	634.382	580.225	0	731.594	258.959	0	698.434	283.379	469.499	507.08	0	667.237	727.934	1202.64	506.699	1273.29	0	765.671	688.122	0	444.327	0	0	387.017	540.561	0	865.747	777.38	407.748	346.215	604.817	415.867	607.687	557.084	341.529	654.987	1500.64	366.537	655.127	171.178	885.761	0	281.42	289.003	313.068	0
CPE	0.103887	1.19571	9.27318	4.28484	5.03736	0.904813	1.11071	0.2736	0.225758	1.06978	3.23052	1.00118	1.85611	3.40342	0.638376	3.18329	0.741967	1.53449	2.28452	0.63104	1.05656	5.4715	1.37778	0.694092	0.580962	1.23648	0.853123	2.42371	0.0106779	0.866462	0.00966074	0.327808	2.24826	0.296493	0.0128588	122.198	16.9213	152.693	14.067	1.54234	0.294536	2374.29	3.53408	18.5618	2.03626	5.58439	25.0208	775.973
TPT1	1057.29	904.408	971.146	1160.51	750.403	1105.97	545.823	831.818	863.269	496.455	728.329	317.94	851.426	304.708	229.402	783.209	718.41	718.096	965.547	755.144	1042.37	742.218	494.485	1033.76	825.736	633.934	1563.43	583.143	532.212	678.676	1138.51	306.242	1003.46	500.039	1145.28	303.369	336.107	270.98	1729.17	435.039	1183.92	403.291	1122.2	833.568	376.134	395.106	443.247	210.978
SCARNA12	220.512	316.807	281.884	327.563	1422.74	419.988	214.67	769.419	473.616	219.915	372.053	348.095	274.419	1377.34	655.197	1287.67	145.791	684.881	554.468	477.07	492.106	982.462	363.597	552.691	698.015	224.978	330.464	759.021	222.778	255.077	539.283	217.155	412.673	390.539	374.296	280.595	342.878	1511.03	608.658	299.246	574.162	154.63	533.31	442.73	277.116	317.946	372.7	189.975
TFF3	55.2005	51.1482	338.558	190.825	34.8202	6.59531	517.949	20.96	322.001	319.267	105.963	6.68771	19.6776	51.7773	22.4975	387.152	109.65	68.3525	234.397	58.5345	250.654	253.218	7.8214	706.107	613.741	85.8208	750.956	541.757	111.744	127.147	265.433	10.0705	173.938	90.1492	13.626	850.924	0	363.255	422.433	199.256	49.5567	45.6237	297.177	1811.03	476.715	228.243	1.42329	172.671
