anno	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16
Class1	11.7713	4.70358	5.69454	9.55802	9.46212	7.748	16.7614	8.95439	4.16141	1.15831	8.80082	7.50962	1.85072	2.16338	2.39265	1.12319	3.80191	0.977687	6.44328	4.63952	1.79848	2.11803	1.58354	6.82509	2.09471	3.82571	5.94176	12.5004	2.9395	4.14027	5.80073	9.8372	9.32242	1.92325	3.73677	1.86305	1.26708	4.0137	5.15804	14.5397
Class1	20.8747	31.9859	35.6574	71.344	33.6737	46.6699	2.0552	8.77642	13.1794	35.0395	6.88516	6.77792	8.97436	9.38169	16.896	1.32372	4.73052	20.4147	29.0567	5.38746	17.7168	12.8542	25.3919	42.9387	11.2508	35.4093	30.592	37.3092	6.15931	1.44152	16.8926	17.9663	14.885	4.23954	12.9385	6.71205	0.372837	11.0943	4.33766	36.7075
Class1	1.10598	1.74048	2.19983	2.88145	3.56139	2.77935	3.50105	0.952782	0.704299	1.11339	1.00592	0.881734	0.82913	0.743874	2.03625	0.759358	0.421418	1.67088	2.65245	1.59813	1.94009	2.83539	2.47452	2.55492	1.64503	2.42127	2.7719	2.84195	2.07544	1.29124	2.01764	2.94459	1.3122	1.52007	1.275	0.418408	1.2963	3.15359	1.24667	1.59029
Class1	41.6901	13.0518	108.085	104.222	135.666	17.2898	96.7463	22.7042	41.6539	37.7521	19.3543	11.2074	18.3633	68.1877	35.4021	28.6028	26.6791	18.2133	34.6939	34.2456	29.7859	34.4966	32.1258	58.6034	7.01144	5.05361	44.3693	126.295	15.5631	15.2979	9.88511	36.8787	114.591	41.8254	27.4491	58.4892	49.406	50.5013	16.1608	20.1033
Class1	33.5671	7.38368	31.5583	28.7058	46.3977	26.9303	10.5138	28.5917	2.13E-31	50.0525	8.33487	29.4973	28.3825	13.492	0	1.27603	19.7144	48.2796	1.10293	1.30E-05	0.7505	0.0904089	0	2.19E-22	28.5494	14.6995	51.527	6.40116	25.5774	1.26E-05	8.19E-06	4.39E-06	1.09E-05	5.24E-20	0.00273435	3.01E-06	0.598691	0.000121014	5.20E-05	0
Class1	19.3824	23.2258	24.6454	24.0823	25.6408	29.6193	16.4877	20.5543	11.0996	16.9263	20.3046	16.3488	4.37552	24.5883	9.31799	9.93069	5.25502	21.6502	15.4132	14.8883	8.99854	11.3754	8.78261	23.4597	10.2441	22.2619	13.2294	13.6586	18.6678	3.99713	16.7024	14.7987	20.2705	6.49227	16.7194	13.4811	17.275	24.303	5.90102	16.5173
Class1	11.5532	6.99597	11.4602	11.2765	19.0092	15.1428	9.45179	5.49068	4.99844	5.04291	5.4066	7.05326	12.1999	6.20332	6.30993	7.5085	10.4344	4.70466	9.30203	6.95997	5.48096	4.5696	7.5623	14.0084	7.59321	15.0838	15.167	10.9984	8.83965	3.15172	8.77837	5.41073	14.1059	4.9754	7.94316	4.49192	1.65753	8.54026	3.90352	9.74638
Class1	20.0056	29.3069	14.3191	25.1887	14.5988	15.0793	8.7751	10.9771	14.3018	17.8653	9.65196	10.185	17.7731	10.0431	12.3309	8.27347	12.2151	23.2952	7.32524	7.55104	12.5174	12.0097	16.7807	10.8403	11.6751	14.4162	7.71426	7.42553	20.3703	6.88512	6.90605	9.97036	9.4191	13.9929	12.5431	9.25495	8.65078	5.84334	7.32662	15.2158
Class1	7.63189	6.28795	9.94811	13.9367	12.596	4.08871	13.9741	2.74575	10.0227	10.6176	5.62231	2.72993	5.89745	13.3799	5.84423	2.08167	10.5992	11.5721	5.49856	3.83538	4.58116	1.01741	3.61302	4.70613	1.10817	3.56103	2.24496	20.4183	6.86032	2.06873	5.0225	5.00688	3.37186	4.41276	2.79659	6.06201	0.627428	6.34324	5.81269	15.2162
Class1	49.4691	48.2965	82.4646	174.437	34.253	70.3079	131.727	34.056	23.2671	38.8274	24.0195	31.2831	84.2254	19.4772	53.923	49.9789	22.6681	51.8987	41.4867	42.97	54.2428	65.5258	68.9301	66.7193	26.2135	85.1307	38.3393	32.5292	37.6521	52.3806	52.4848	23.8017	30.9801	33.4824	52.2018	37.5883	48.4993	65.2068	54.0455	57.7959
Class1	16.1749	13.634	20.901	25.9934	27.863	9.05905	15.2699	10.4932	12.0757	12.5174	12.9779	12.5886	11.3568	11.6911	11.5091	5.91	5.84953	15.6641	6.6868	7.29197	11.355	11.6949	13.326	11.398	13.277	13.492	5.35747	14.0966	13.8287	7.04662	10.1999	21.3839	12.4015	10.398	7.72717	15.3323	9.56006	8.38034	4.52175	27.4951
Class1	1.44028	4.88429	3.16309	7.37558	1.99576	1.66043	0.649385	0.132599	1.52104	0.996149	0.362957	0.168846	1.82697	1.35885	1.24397	3.39801	0.94567	0.726608	0.821766	0.465693	1.14294	0.254712	1.28058	0.635583	0.187751	0.814418	0.197507	4.21448	1.50691	1.96112	0.999363	1.76674	0.117413	0.807325	1.14119	1.21609	0.37491	0.287172	0.260409	2.07086
Class1	1.58023	0.865432	1.59353	1.98463	1.34893	2.28921	1.73974	0.181854	1.42861	0.733229	0.379847	0.21387	0.519772	1.20148	1.06239	0.328199	0.991022	1.73232	1.03584	0.831381	1.42697	0.931308	2.93846	2.62613	0.293697	0.892269	0.254547	0.586416	0.516806	0.115627	1.29782	1.74345	0.959047	1.93913	0.559708	0.751072	0.257054	2.37013	1.11899	0.609194
Class1	51.6312	60.6529	39.1751	51.5661	66.0948	76.4655	59.0936	48.6498	29.6802	49.452	62.094	39.2559	36.7071	50.0575	41.8584	49.4038	30.1029	67.1629	23.2729	22.2707	36.8353	21.9173	34.1185	57.2253	30.1126	53.0707	59.6284	28.7145	27.3362	15.6511	15.9471	19.5173	36.9431	17.6803	35.8486	19.6612	24.1726	17.066	23.8478	32.5793
