TF	CAS-ACC-1	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16	CAS-DAC-65	CAS-NEN-3	CAS-NEN-1	CAS-NEN-2
HEY2 (60g)	0.16276236	0.070631727	0.07620849	0.073024061	0.094132077	0.072284696	0.079101757	0.085516467	0.097546912	0.067222623	0.118089801	0.080244621	0.091088644	0.065171888	0.07618671	0.101947568	0.070166329	0.085731972	0.107480771	0.08591538	0.098297741	0.108758898	0.136510884	0.128109632	0.100694659	0.08662838	0.074569277	0.096671137	0.064609053	0.080834967	0.087427353	0.075072504	0.128824925	0.097335993	0.130612011	0.076414824	0.085626512	0.108836847	0.115995506	0.101801988	0.087196946	0.099692791	0.39136261	0.355665601	0.442651627
SNAI3 (12g)	0.169447592	0.152573214	0.167250318	0.149042698	0.171164212	0.144390657	0.194498804	0.196547304	0.156178117	0.139463957	0.165247594	0.152985203	0.170981106	0.146570765	0.15007267	0.1321111	0.150467493	0.13819938	0.167193097	0.143812728	0.142668315	0.149386022	0.191815154	0.168228791	0.150959591	0.171135602	0.157637244	0.134840526	0.194601801	0.286984585	0.171633421	0.217060917	0.197119511	0.152458773	0.181469656	0.19786338	0.152241334	0.163044598	0.179054943	0.16781108	0.17710944	0.213919502	0.438464884	0.344382646	0.379916687
HEY1 (77g)	0.210346532	0.073445308	0.069392173	0.085224871	0.091070859	0.096629061	0.080628339	0.089067976	0.083121888	0.077900628	0.097636312	0.074810951	0.08273579	0.073666957	0.092957555	0.098835718	0.081626652	0.085452776	0.092828856	0.074084336	0.089791909	0.107505941	0.177353924	0.148695087	0.090859935	0.09408278	0.082010069	0.084271245	0.087663008	0.08933878	0.090124383	0.083869953	0.097284176	0.111743188	0.131061492	0.086198159	0.105043673	0.099306722	0.103577037	0.091198664	0.089269068	0.099963625	0.422724547	0.366394462	0.401232654
PBX3 (10g)	0.10372481	0.061993203	0.049531395	0.061718562	0.095355144	0.122441553	0.068824882	0.074660991	0.048343575	0.06870816	0.083449483	0.056260084	0.054914347	0.063311477	0.083806516	0.062425761	0.055360637	0.07431769	0.082769748	0.059693089	0.053712795	0.06721137	0.110069003	0.107659034	0.078547152	0.069538947	0.066964194	0.055724536	0.118699578	0.056541591	0.066916132	0.068097085	0.094524357	0.067753785	0.087411171	0.055580349	0.068715026	0.071770401	0.102811631	0.089841738	0.069332967	0.05466717	0.62668818	0.373147036	0.356709808
SP8 (66g)	0.253691596	0.11065458	0.118911747	0.104533103	0.142672208	0.102127456	0.128157022	0.126171424	0.149998593	0.121814575	0.152888914	0.131494493	0.135599103	0.119021189	0.13329039	0.145729298	0.130372969	0.138721859	0.130876404	0.161647431	0.158185925	0.162935724	0.195498479	0.184290537	0.127037583	0.125394905	0.111177819	0.15671627	0.105410727	0.128466587	0.142052034	0.107834094	0.123211269	0.173261873	0.161906966	0.130793019	0.147566888	0.156446312	0.16879037	0.135617865	0.131393389	0.15760119	0.645442142	0.423851559	0.350705486
LMX1B (15g)	0.107050314	0.096593874	0.105214485	0.068269011	0.104761251	0.066163073	0.088673717	0.105150391	0.092372843	0.117218331	0.069862198	0.082543607	0.084681591	0.118083597	0.097958156	0.122675457	0.141079522	0.103021563	0.077370325	0.139582475	0.110369455	0.141679257	0.196314609	0.189296342	0.110822689	0.116664378	0.062239619	0.096461109	0.073973355	0.066346198	0.163617635	0.070393261	0.070118573	0.071826214	0.160220666	0.108771689	0.076225793	0.13837385	0.208327611	0.122341253	0.112521174	0.119791237	0.539051412	0.253651055	0.388737811
FOXJ3 (43g)	0.173910263	0.196868746	0.177711633	0.217694752	0.226354138	0.19786145	0.186302281	0.200403156	0.208792386	0.170105697	0.158465001	0.223169812	0.21468307	0.180050323	0.177123364	0.182483327	0.17426834	0.151354618	0.154035398	0.168241779	0.177307198	0.191583915	0.23139439	0.203392459	0.202012904	0.213794272	0.212883094	0.198716678	0.172580264	0.168607848	0.165186935	0.188879155	0.194218337	0.203824069	0.162939364	0.18874168	0.180667366	0.206500054	0.174930143	0.154025807	0.166883005	0.198755043	0.481541457	0.500286142	0.230652659
HOXD9 (67g)	0.233741858	0.06207029	0.06412489	0.066607661	0.06423989	0.074620705	0.071981863	0.058631581	0.067953778	0.055500908	0.066818152	0.076081823	0.068219716	0.058930376	0.073304364	0.058205464	0.068601681	0.064423685	0.070407799	0.065217391	0.059485867	0.068019493	0.098804615	0.089327372	0.064442167	0.073985124	0.06771043	0.064544846	0.070214763	0.072836149	0.083092723	0.06699784	0.062238683	0.088442282	0.075240884	0.073688383	0.064504801	0.087361076	0.082124463	0.076872448	0.06643516	0.060594797	0.269007878	0.179117826	0.420628352
HOXD4 (13g)	0.073447462	0.072676277	0.054849223	0.072898124	0.061631426	0.058578378	0.048426201	0.062090968	0.048130404	0.041511945	0.073753823	0.054305167	0.048162097	0.050190419	0.055493638	0.053977678	0.061198295	0.075190551	0.085770578	0.051827867	0.049413952	0.054453066	0.059951722	0.050121752	0.047417322	0.045235819	0.057865296	0.04670424	0.057896989	0.060839113	0.061911377	0.055588715	0.046625009	0.101437257	0.065165145	0.064969707	0.058536122	0.06315795	0.071836424	0.045827413	0.05433686	0.067700548	0.074123569	0.219296531	0.333093879
TCF7L1 (14g)	0.112034335	0.176397302	0.160877989	0.18107664	0.174592275	0.179217658	0.120073574	0.21742244	0.21014347	0.168328633	0.156654813	0.195531576	0.204218271	0.166253832	0.202011036	0.164051502	0.184372777	0.212556714	0.15047946	0.166572655	0.176333538	0.158881668	0.133380748	0.150204782	0.187717964	0.183744942	0.1490374	0.16297241	0.164698958	0.1498271	0.163001839	0.137142857	0.150960147	0.177800123	0.195129368	0.158969957	0.178722256	0.16801962	0.192686695	0.181385653	0.22032618	0.200362968	0.377157572	0.241162477	0.26258737
NKX1-2 (24g)	0.077711947	0.039747553	0.04127025	0.032881104	0.060822028	0.045463392	0.036922549	0.041536436	0.032036751	0.02675883	0.04777606	0.03772683	0.031309749	0.030073273	0.044616177	0.055338027	0.036850993	0.048027935	0.045992902	0.04430992	0.046699868	0.061059591	0.11281699	0.079609594	0.048729177	0.034652814	0.042372202	0.037168699	0.047444044	0.036204133	0.051559906	0.038299273	0.03742916	0.041307459	0.065264182	0.042755739	0.03546282	0.047927758	0.053657908	0.041032686	0.058612399	0.050752762	0.059336539	0.222442613	0.310069266
ZNF467 (434g)	0.243033496	0.226627613	0.211876734	0.214532544	0.236079393	0.222332531	0.211284342	0.257272252	0.250325535	0.227289518	0.238140724	0.255227136	0.245253119	0.222818003	0.255976214	0.249496186	0.275315962	0.262683728	0.241698126	0.274326235	0.27021176	0.249667161	0.279689227	0.256154414	0.233349735	0.221260125	0.205152685	0.241260815	0.236684628	0.266002728	0.257175286	0.219697912	0.228749307	0.265142555	0.274474413	0.245588005	0.286609777	0.296001997	0.295030571	0.278766605	0.242866053	0.287530794	0.577938139	0.320749849	0.324377086
STAT5B (62g)	0.38337917	0.306119347	0.288016135	0.292792108	0.320626989	0.277689827	0.294978738	0.297319575	0.278930138	0.314482015	0.280012913	0.263984282	0.273059185	0.28919321	0.29149078	0.294833407	0.297229714	0.30344569	0.286912281	0.310604657	0.319811579	0.310697847	0.32232992	0.330471817	0.32924371	0.343609349	0.274520267	0.303806245	0.261723322	0.325218802	0.292434881	0.286846826	0.366515159	0.34608997	0.331831943	0.293469952	0.317546182	0.319293489	0.330130122	0.289259774	0.296853627	0.326907311	0.598539806	0.323308412	0.470228659
EMX1 (226g)	0.374363555	0.209724688	0.215014283	0.219043765	0.226069114	0.229903932	0.220527619	0.213469521	0.217976787	0.209564305	0.209208951	0.221224553	0.22283053	0.200020874	0.210727391	0.214728103	0.214722899	0.206180335	0.209845894	0.241190156	0.238350388	0.23090082	0.286269244	0.270688783	0.241194135	0.259931457	0.208992556	0.237814144	0.235875769	0.227106709	0.21651895	0.217079374	0.24899569	0.240559028	0.234783692	0.220071567	0.232206231	0.23821143	0.246357626	0.219137731	0.223734371	0.225038252	0.578874249	0.30074661	0.365096204
DLX4 (262g)	0.245896851	0.196706114	0.225482812	0.232558625	0.182220352	0.195379878	0.193573057	0.18877249	0.251845218	0.191175417	0.238526025	0.271639359	0.261616591	0.206966267	0.22169893	0.223544875	0.230505167	0.21436432	0.223578182	0.2247963	0.215053476	0.221391757	0.225392141	0.227298886	0.204371952	0.222320413	0.239272545	0.234950185	0.212796734	0.227436611	0.232113198	0.24711629	0.213519198	0.224078065	0.216881181	0.243571114	0.198732608	0.247185549	0.208912399	0.208809039	0.203550093	0.239701582	0.320522659	0.24143465	0.372144079
PTF1A (16g)	0.149632593	0.067678467	0.060120008	0.057197061	0.104908492	0.049990557	0.055463036	0.047235003	0.049904714	0.060029873	0.04762988	0.044943	0.054183978	0.05765632	0.050604333	0.040736703	0.051273907	0.055596092	0.053222539	0.052492875	0.052265392	0.053570202	0.08374824	0.069777324	0.036809395	0.067549703	0.040822546	0.029632936	0.039182948	0.065128936	0.082748172	0.048174982	0.055866497	0.044466573	0.05884095	0.053411393	0.052797617	0.059454727	0.077919514	0.062733922	0.049994849	0.06505597	0.086181884	0.43039007	0.184707963
NKX2-5 (35g)	0.10379722	0.07575002	0.072357261	0.069423938	0.063673133	0.077297181	0.090573706	0.081544019	0.068779942	0.075131548	0.077281473	0.072461321	0.067817875	0.090149611	0.077623105	0.096218487	0.086112856	0.088058588	0.079833896	0.092038404	0.089976832	0.09867274	0.103326003	0.086285636	0.073902458	0.067411451	0.063567109	0.080460221	0.074754575	0.094910862	0.085945967	0.060113485	0.084080735	0.097215896	0.107930181	0.060231289	0.091745857	0.086134454	0.097162884	0.10161588	0.087495091	0.080134297	0.148260426	0.127069426	0.427707532
GBX2 (11g)	0.080697111	0.038519637	0.040242441	0.047832763	0.029137849	0.040429702	0.021553769	0.025916956	0.045910214	0.010680133	0.024106764	0.047920152	0.034231355	0.043825373	0.031541035	0.020804724	0.085540935	0.045211106	0.016191855	0.040204989	0.036553394	0.027652243	0.030155302	0.018907143	0.023994407	0.031946768	0.03794537	0.058550348	0.041634416	0.04198397	0.035379891	0.024219121	0.025916956	0.041959002	0.023644853	0.041272378	0.027720906	0.058918629	0.03250231	0.027596065	0.057957354	0.023913261	0.031903074	0.184190158	0.343524506
ASCL1 (39g)	0.269584985	0.141711164	0.162308573	0.155578465	0.139217552	0.128698564	0.137511675	0.152728875	0.139305666	0.133153582	0.15580756	0.166694863	0.154709666	0.125450701	0.130816812	0.201838047	0.143956296	0.147452639	0.158116134	0.143963345	0.16080712	0.246435809	0.413241695	0.326291303	0.159113578	0.128039475	0.155449819	0.134258525	0.144893823	0.135266543	0.133234646	0.152443387	0.131583399	0.156923077	0.200130408	0.178022733	0.156371486	0.181395718	0.168342585	0.1628725	0.140544541	0.164128998	0.523838224	0.480317209	0.231509384
LHX4 (27g)	0.178846956	0.172353516	0.180969029	0.196240827	0.191312225	0.174638433	0.160778806	0.215258058	0.263521216	0.183979115	0.184452383	0.277833756	0.261292276	0.187421758	0.207324458	0.199538436	0.182393922	0.196052538	0.181785798	0.183696681	0.192263849	0.199538436	0.186953579	0.17936348	0.184706828	0.218794846	0.188648184	0.203665537	0.171460413	0.175900481	0.195976204	0.196474917	0.217812688	0.218441167	0.196889662	0.19189236	0.19084659	0.236901163	0.171585092	0.182823934	0.195576725	0.240364162	0.304667542	0.185681353	0.456670534
HOXD10 (124g)	0.267545708	0.103893981	0.106794595	0.12302591	0.103466505	0.102867816	0.10843557	0.107726259	0.116045649	0.103127971	0.118718349	0.115115652	0.11687114	0.104855664	0.114922204	0.114593119	0.112997726	0.111507396	0.110831995	0.106614488	0.103184671	0.11947491	0.126008238	0.122729623	0.113708149	0.122507268	0.105603887	0.104995747	0.098426287	0.114196217	0.120924105	0.112181686	0.112898223	0.11402278	0.12131934	0.107938608	0.108608451	0.133204738	0.12400149	0.104678337	0.105390427	0.147771175	0.155976052	0.167266097	0.408332175
CREB3L2 (19g)	0.530057114	0.301185656	0.321143002	0.313490457	0.322173222	0.272057548	0.301745951	0.293605408	0.342835454	0.316996819	0.35465587	0.334803355	0.350943464	0.303119578	0.329995662	0.3329345	0.350245807	0.369979034	0.370127241	0.294003036	0.292473973	0.333050174	0.350708502	0.329717322	0.30242192	0.337268652	0.300882013	0.30289546	0.248705899	0.343027039	0.277508676	0.303560584	0.315905147	0.336589069	0.331293378	0.305346298	0.332930885	0.340167727	0.320047715	0.349490312	0.342557114	0.37323236	0.685793811	0.456228311	0.359369578
HMX1 (42g)	0.044311556	0.032657597	0.033906294	0.040974605	0.044116805	0.049042857	0.044002245	0.027224211	0.03976355	0.04315287	0.034457815	0.041149718	0.038359379	0.02994254	0.032858894	0.0339603	0.043216696	0.037732576	0.03307001	0.032009518	0.033006185	0.035443026	0.050407749	0.040082679	0.034060131	0.039128563	0.02535853	0.039904294	0.047673054	0.034318707	0.037608197	0.03349388	0.031138867	0.039321678	0.043342711	0.035699966	0.038383928	0.045234577	0.04096315	0.039342953	0.03025676	0.036963392	0.086071711	0.064801313	0.416369222
RORA (376g)	0.471750054	0.374866573	0.357405643	0.375486274	0.362812634	0.343459128	0.341920508	0.403833678	0.439971454	0.367699416	0.377394939	0.455117612	0.449502205	0.404628508	0.399363729	0.409878308	0.467968415	0.395292489	0.38069502	0.374882292	0.374546089	0.405855151	0.40474446	0.410310306	0.388364077	0.416569825	0.386820095	0.381025675	0.339090151	0.376104311	0.40047405	0.40022162	0.39549055	0.388850629	0.410546646	0.397276236	0.396526899	0.474911992	0.396464762	0.423446271	0.374468048	0.457411487	0.54146876	0.45840974	0.454788621
UNCX (43g)	0.050723827	0.024451535	0.026943686	0.021743579	0.018033327	0.021502196	0.022777845	0.01754257	0.02923282	0.016962293	0.018773459	0.027455224	0.031494779	0.012249746	0.016458748	0.019195478	0.029600489	0.025540153	0.020173795	0.011421693	0.022426163	0.02845752	0.082348089	0.04550134	0.023006439	0.024011932	0.019657461	0.018367425	0.019508795	0.031288565	0.030316642	0.019667052	0.022509288	0.02140948	0.024758458	0.017969384	0.029159287	0.032967051	0.024895934	0.02547621	0.023935201	0.02498865	0.073549629	0.051189007	0.358438145
