TF	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16
MECOM (28g)	0.777600024	0.76760871	0.794093543	0.756878843	0.752074572	0.759025798	0.789286818	0.722615899	0.701423615	0.684979168	0.749765675	0.73156686	0.762698931	0.717963754	0.692671401	0.674416151	0.668242736	0.707049863	0.758093406	0.709886297	0.706036501	0.688706282	0.680695074	0.742569083	0.714599783	0.766129151	0.761589875	0.766749928	0.765586892	0.699367446	0.760831693	0.691859238	0.746264299	0.645519367	0.755769788	0.696778832	0.669977475	0.710460454	0.58746571	0.742534732
NR1I2 (12g)	0.698830409	0.651159863	0.673744864	0.744441011	0.733048374	0.613508657	0.626612193	0.530538675	0.698733134	0.602281961	0.535802978	0.522121514	0.724139115	0.629370229	0.631647612	0.564167267	0.647881118	0.604261796	0.560007324	0.547802154	0.652750598	0.577551184	0.620924457	0.611048168	0.564716586	0.678311074	0.537130497	0.722039116	0.598734279	0.646748149	0.648407549	0.596685778	0.539476545	0.595272428	0.603878418	0.570810588	0.475686934	0.57690459	0.508943592	0.707505064
HNF4A (1193g)	0.592572168	0.605841322	0.599842086	0.612424488	0.584438111	0.602120219	0.574846988	0.486684145	0.54953503	0.547091628	0.492488897	0.488910627	0.55588622	0.526136234	0.563143001	0.529241012	0.528217544	0.555915255	0.567382886	0.565135528	0.581271485	0.627820904	0.612599836	0.59293096	0.56661821	0.580691093	0.558885298	0.591552179	0.598812259	0.542519044	0.569004923	0.561579634	0.554007792	0.56037386	0.570169424	0.57835873	0.494385322	0.568772106	0.51675831	0.583416623
HNF4G (495g)	0.618985696	0.650636374	0.615506976	0.657585631	0.587497655	0.622023616	0.609942745	0.485952811	0.586550465	0.546734204	0.496333676	0.484854127	0.605132317	0.576331673	0.606867728	0.594732974	0.580006319	0.571178903	0.600650126	0.577464352	0.618309756	0.632069332	0.637053964	0.59348604	0.58271163	0.59932801	0.600608656	0.592271267	0.601011794	0.59081684	0.577894995	0.560575593	0.572742084	0.57736392	0.575491685	0.585425403	0.481953172	0.594397684	0.551344051	0.611889175
ESR2 (27g)	0.288314352	0.298560858	0.34283686	0.236209072	0.315354239	0.309051632	0.274622658	0.213919677	0.314723215	0.255366248	0.23139497	0.204596806	0.269299665	0.287090471	0.248717596	0.300901754	0.239234425	0.233392365	0.283294149	0.266142001	0.247180748	0.242580379	0.23645334	0.27651573	0.215232614	0.311415428	0.279551261	0.32293416	0.245114653	0.269979034	0.346650993	0.229662199	0.246951747	0.221206986	0.288988631	0.239832372	0.229054075	0.280943076	0.251658982	0.281948134
CREB3L1 (545g)	0.689653761	0.691253121	0.700914993	0.664519213	0.667662492	0.680463021	0.661579481	0.663111335	0.611149577	0.636615111	0.686446955	0.674755274	0.658377295	0.641312317	0.657229303	0.643496647	0.624965012	0.654422401	0.666390139	0.648919354	0.670183839	0.678544225	0.67733463	0.698823581	0.661552401	0.702703525	0.698881975	0.651437878	0.671544232	0.610968106	0.658170797	0.586010923	0.659877192	0.613366248	0.67316079	0.650643203	0.644038237	0.634703758	0.596690779	0.64717651
YY1 (348g)	0.732778882	0.730330998	0.699334722	0.742285165	0.746395246	0.733266342	0.73534374	0.660617323	0.728498729	0.709691566	0.65360184	0.646850648	0.733297882	0.732596633	0.730604871	0.729258864	0.727086649	0.728130239	0.708443371	0.709189534	0.727192046	0.709510515	0.728636862	0.727305428	0.708403847	0.708203633	0.719886922	0.710635947	0.683307004	0.710734357	0.680072037	0.709038026	0.690796972	0.709692165	0.686893294	0.721428951	0.649338255	0.728966028	0.727759753	0.721916411
E2F8 (328g)	0.71163326	0.689575924	0.696341209	0.688899734	0.72432362	0.702073268	0.672719007	0.702222263	0.696722162	0.708436226	0.669077952	0.696423961	0.713492941	0.679711382	0.698633483	0.654973202	0.675954137	0.691565764	0.637189302	0.66567605	0.699084064	0.677882812	0.696696341	0.720195158	0.714805109	0.686692752	0.681710111	0.668404514	0.675069058	0.634652584	0.640196072	0.690571267	0.678613817	0.693619095	0.658245369	0.675420592	0.634189728	0.634499992	0.6387002	0.677929796
EGR3 (16g)	0.570266628	0.571846135	0.688789788	0.386078014	0.491205405	0.593598702	0.489261065	0.505893109	0.464504	0.572361192	0.458980016	0.452743536	0.462383683	0.481337774	0.578022525	0.416805446	0.605917145	0.516468942	0.519688047	0.388979501	0.556922364	0.454782303	0.569176424	0.600908217	0.40614377	0.583709611	0.482453731	0.563313361	0.460293411	0.407276895	0.472448752	0.384919136	0.37887151	0.478234557	0.471882189	0.415431961	0.446871888	0.43333877	0.458958555	0.468920613
ETV6 (167g)	0.600834917	0.608063453	0.604219147	0.581312868	0.58083791	0.609308513	0.62717255	0.669257371	0.605467926	0.649187198	0.676894726	0.649298807	0.627850471	0.655798992	0.638695962	0.630185163	0.617079799	0.663003139	0.605764723	0.59589643	0.612421987	0.562554306	0.575876275	0.579120786	0.582035019	0.598374974	0.588630691	0.59150028	0.592810238	0.64348605	0.626346644	0.612233492	0.588774129	0.617112041	0.592990465	0.611942896	0.671222928	0.591816092	0.647376654	0.58234959
