V1	V2	V3	V4
0.000521035	0.89525324	0.471446154	0.915768536
0.002254061	0.635911692	0.841511529	0.835023792
0.002548314	0.999984201	0.023473029	0.630898735
0.002607543	0.996674898	0.053381825	0.866604322
0.010675129	0.909786061	0.674647222	0.554964031
0.011331816	0.849007965	0.005739093	0.999243066
0.011646999	0.758466197	0.281601546	0.951199036
0.025135196	0.095270615	0.235821102	0.999910521
0.026385944	0.32698824	0.259252627	0.996016609
0.887945987	7.11E-06	0.998744045	0.561007795
0.799548015	1.20E-05	0.999938508	0.421126859
0.96024109	1.46E-05	0.980720553	0.646439082
0.984601353	2.61E-05	0.944267932	0.647098853
0.964918982	2.90E-05	0.998446471	0.318003641
0.212478255	4.22E-05	0.260437059	0.999999989
0.798265502	7.97E-05	0.931412059	0.906109307
0.979926433	0.000135983	0.755884382	0.830385317
0.276946865	1.42E-04	0.34759627	0.999997628
0.815103822	0.000144397	0.999325442	0.411975888
0.858273692	0.000216243	0.999776457	0.255049907
0.99296476	0.000235027	0.549881988	0.855684228
0.328085136	0.000371683	0.995669006	0.868500736
0.952046758	4.05E-04	0.780644341	0.831485136
0.982826121	0.000555172	0.627758328	0.82876953
0.993438258	0.000562883	0.433759229	0.869342425
0.932224618	7.32E-04	0.836557353	0.782580407
0.971717246	0.000843149	0.627834102	0.844602593
0.908489469	0.000969083	0.831849194	0.80504281
0.848493085	0.001694084	0.406276052	0.981283004
0.884701832	0.001777431	0.950410266	0.587698572
0.280790507	1.90E-03	0.689419965	0.99727887
0.721191148	0.002843384	0.961431351	0.687856351
0.767450598	0.003424023	0.876195161	0.802035289
0.784174981	0.003881891	0.739533273	0.890394363
0.945685664	4.19E-03	0.913264605	0.469353642
0.999980525	0.004328829	0.789610286	0.09148103
0.747599732	0.005090446	0.814651305	0.84595615
0.990942665	0.006471568	0.317719652	0.803221322
0.995526729	0.007379364	0.358958547	0.702100408
0.780666535	0.007625467	0.988202504	0.36241377
0.222724807	0.010247573	0.995502022	0.699496134
0.822045509	0.011467706	0.991886499	0.237438514
0.119418503	0.012783738	0.705946129	0.995892561
0.863238905	1.36E-02	0.079119953	0.993791938
0.73583941	0.014266293	0.999038971	0.137121003
0.477468558	1.45E-02	0.833543592	0.888371888
0.000532701	0.016555678	0.993365574	0.992197506
0.363914394	0.017366222	0.029498099	0.999994314
0.684697743	0.018151708	0.98548289	0.368084333
0.920262364	0.021103031	0.457043435	0.804692503
0.262956255	2.13E-02	0.579440788	0.989109971
0.299838165	0.02386029	0.463014966	0.992673785
0.81777816	0.024367864	0.774732789	0.666347958
0.348392613	0.029417155	0.858754335	0.871548895
0.493239143	0.034441112	0.993662507	0.335992052
0.921611746	0.0366148	0.610358048	0.613612568
0.930466554	0.040868923	0.986229987	0.06937546
0.952868941	0.04188396	0.761564674	0.363657853
0.14492931	0.044886246	0.999479654	0.387132441
0.163296278	0.04674028	0.999470371	0.358580173
0.58356902	0.971286839	3.09E-05	0.902403081
0.008438145	0.999967691	3.20E-05	0.953178394
0.847041409	0.984455143	7.42E-05	0.604120073
0.536428993	0.984251412	8.03E-05	0.844448645
0.851985191	0.822196975	0.000133765	0.899384952
0.191539678	0.997228035	0.000135645	0.881005834
0.483561927	0.064509898	0.000838608	0.999998701
0.008110659	0.993395441	0.009000697	0.952722751
0.37460679	0.999998097	0.010618772	0.051292944
0.011331816	0.849007965	0.005739093	0.999243066
1.80E-05	0.994279174	0.049535049	0.986318882
0.996118319	0.750767854	0.946950937	9.85E-07
0.999682845	0.434935427	0.966604227	2.26E-06
0.998002084	0.267144288	0.987831276	4.13E-05
0.174563529	0.891924981	0.999807968	0.000144457
0.352438422	0.999997374	0.294491099	0.000621055
0.627703864	0.785337379	0.99363787	0.000347922
0.322685438	0.999998446	0.207293236	0.001661077
0.588265454	0.990002012	0.686105286	0.001809725
0.85462244	0.441497925	0.988559236	0.002452022
0.376579649	0.657254878	0.998549989	0.002781068
0.998903402	0.210103786	0.837711252	0.005366269
0.481529485	0.985965081	0.621910244	0.009350897
0.624594158	0.208487796	0.999020984	0.016006518
0.989886938	0.825136462	0.194896099	0.023129826
0.949186728	0.80891977	0.341218513	0.035310685
0.614079642	0.861683613	0.705028035	0.037480587
