sample	ATAC	RIMBP2	anno	ATAC1	RNA1
DAC_33	0.883766623	0.0482515	0	ATAC	RNA
DAC_29	0.494881503	0.126808	0	ATAC	RNA
DAC_31	0.572079356	0.763254	0	ATAC	RNA
DAC_49	7.015126394	70.7551	1	ATAC	RNA
DAC_32	0.651201164	0.15498	0	ATAC	RNA
DAC_34	0.42303636	0.828466	0	ATAC	RNA
DAC_35	0.910994185	0	0	ATAC	RNA
DAC_39	0.935509793	0.0229815	0	ATAC	RNA
DAC_30	1.072606386	0	0	ATAC	RNA
DAC_18	0.446575576	0	0	ATAC	RNA
DAC_13	0.68058423	0.14607	0	ATAC	RNA
DAC_42	0.490951888	0.0550228	0	ATAC	RNA
DAC_25	0.433874976	0.0200628	0	ATAC	RNA
DAC_28	0.40181432	0.0164824	0	ATAC	RNA
DAC_10	0.184911657	0	0	ATAC	RNA
DAC_2	0.747635137	0	0	ATAC	RNA
DAC_38	0.903264618	1.8197	0	ATAC	RNA
DAC_24	0.898321031	0.0167884	0	ATAC	RNA
DAC_36	0.116015102	0.0331805	0	ATAC	RNA
DAC_6	0.861321862	0.00693429	0	ATAC	RNA
DAC_7	0.831979263	0.0601939	0	ATAC	RNA
DAC_14	0.274894454	0.0340027	0	ATAC	RNA
DAC_22	0.49840707	0.00447792	0	ATAC	RNA
DAC_16	0.867266339	0	0	ATAC	RNA
DAC_1	0.305798854	0	0	ATAC	RNA
DAC_26	0.228837446	0.152358	0	ATAC	RNA
DAC_21	0.882028068	0.198341	0	ATAC	RNA
DAC_5	0.556973109	2.97195	0	ATAC	RNA
DAC_4	0.185026903	0.124303	0	ATAC	RNA
DAC_37	0.819205324	0.0040665	0	ATAC	RNA
DAC_20	0.975076555	0.0341401	0	ATAC	RNA
