DRUG	CAS-DAC-4	CAS-DAC-19	CAS-DAC-22	CAS-DAC-24	CAS-DAC-1	CAS-DAC-2	CAS-DAC-6	CAS-DAC-13	CAS-DAC-7	CAS-DAC-11	CAS-DAC-12	CAS-DAC-16	CAS-DAC-18	CAS-DAC-3	CAS-DAC-9	CAS-DAC-23	CAS-DAC-25	CAS-DAC-27	CAS-DAC-28	CAS-DAC-31	CAS-DAC-32	CAS-DAC-36	CAS-DAC-21	CAS-DAC-5	CAS-DAC-14	CAS-DAC-42	CAS-DAC-29	CAS-DAC-37	CAS-DAC-39	CAS-DAC-26	CAS-DAC-8	CAS-IPMN-1	CAS-DAC-15	CAS-DAC-20	CAS-DAC-30	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-38
S1194	0.679578796	0.629221226	0.968019092	0.65179855	0.681917657	0.946921446	0.729423498	0.921347473	0.728871184	0.891689625	0.809731344	0.641634468	0.670951339	0.743636623	0.613950968	1	0.759300565	0.662997819	0.710172231	0.796727773	0.738149845	0.932119796	0.887002301	0.878447977	0.676031248	0.813213982	0.706213448	0.729136499	0.818602393	0.908293575	0.871958114	0.657538282	0.659719092	0.677305674	0.933286162	0.79361884	0.848090346	0.719445899	0.732080979
S2170	0.777248063	0.83175939	1	0.798678248	0.711871017	0.927576025	0.851482234	0.996535154	0.838957568	0.912352322	0.890399442	0.712071827	0.789138882	0.83340299	0.707359662	0.923221034	0.914081553	0.721125032	0.800023804	0.888461496	0.755520442	0.949258306	0.902142167	0.930684927	0.749030316	0.925161978	0.776417974	0.885577385	0.82795085	0.966900245	0.898036969	0.798770003	0.754659584	0.68034809	0.915116603	0.877662031	0.797760529	0.788522648	0.703727639
S1090	0.754968921	0.851020466	0.992587467	0.802327761	0.731638812	0.918016025	0.833257793	0.995823125	0.821511007	0.903553765	0.881744541	0.717135879	0.831348819	0.831172769	0.767814007	0.964793027	0.972506089	0.704294631	0.748541969	0.876681893	0.744477474	0.965515586	0.88630194	0.925155433	0.732886435	1	0.734126105	0.911601245	0.881274699	0.931918132	0.891959814	0.831595895	0.809357361	0.728419957	0.972640765	0.947820665	0.843312417	0.785731159	0.675636358
S1085	0.885158634	0.862195529	0.984754391	0.804173511	0.770761065	0.939896574	0.818585429	1	0.843690244	0.913827874	0.8613321	0.733049028	0.794056696	0.789284524	0.795328612	0.967130042	0.903123432	0.770313984	0.789850552	0.959884424	0.767527027	0.949334807	0.963834154	0.861266349	0.816528269	0.935232581	0.817395964	0.931950337	0.892372902	0.918536015	0.887813565	0.932713546	0.857905912	0.781296423	0.985397091	0.903173061	0.873343803	0.731372925	0.728599008
S1515	0.802168874	0.900678581	0.996215161	0.789939312	0.761327226	0.953158442	0.847362326	1	0.837068701	0.944947881	0.888196823	0.714720738	0.834349849	0.819545428	0.793714072	0.991773077	0.907111641	0.696478406	0.766360608	0.838764728	0.74732723	0.970330502	0.886404873	0.933713732	0.702442021	0.969494999	0.7897459	0.910065458	0.871785373	0.925510779	0.896131513	0.883545441	0.877590017	0.757733418	0.925165742	0.959974847	0.87847375	0.780162232	0.730478239
S7569	0.983021487	0.855653003	0.960727696	0.847269094	0.827476339	0.984094796	0.833775912	1	0.856708604	0.988568818	0.869469864	0.801533773	0.854767817	0.892953647	0.834045512	0.946391212	0.902170881	0.784577006	0.826490344	0.863206146	0.835877222	0.994776273	0.889637072	0.879884738	0.819877631	0.92162396	0.781679724	0.893774603	0.901845425	0.905058802	0.872609184	0.839371887	0.861442818	0.820918517	0.8905328	0.926243939	0.883117511	0.811822372	0.800603538
S2779	0.99550045	0.869273414	0.990096416	0.857455994	0.853945186	0.962366515	0.834095218	0.981903954	0.850228973	0.959889813	0.899449038	0.805134625	0.893615248	0.968171424	0.857397464	0.944556937	0.896716161	0.805055449	0.838696323	0.932674814	0.867825389	0.99196769	0.912156289	0.946158719	0.799051605	1	0.869213003	0.907765909	0.923007566	0.897192926	0.890571364	0.930939521	0.880517575	0.805564068	0.947595458	0.953546404	0.92381257	0.803046759	0.77818769
S1134	0.812526664	0.586232264	0.961402032	0.828325919	0.244353438	0.952335718	0.698206577	0.924618075	0.807166757	0.940917645	0.619675934	0.760026115	0.866313652	0.68385359	0.722658776	0.953991623	0.838778613	0.664020304	0.811526799	0.748803763	0.826301957	0.955048314	0.807792593	0.769170313	0.724103242	0.93868705	0.880577888	0.736732738	0.967784474	1	0.922944049	0.914092715	0.772314037	0.766808414	0.957591883	0.9060478	0.88293266	0.881757687	0.710334615
S1122	0.862509361	0.810984106	0.928775414	0.928985812	0.851530823	0.906549391	0.795718777	0.967418444	0.889143831	0.916308979	0.863700636	0.785798549	0.882637031	0.836887184	0.871551662	1	0.931948945	0.835463491	0.818200616	0.924852208	0.847325357	0.936174127	0.915058487	0.894651867	0.859226764	0.949693276	0.802551543	0.88033986	0.959649262	0.93200018	0.886096769	0.884245137	0.817442345	0.764721426	0.901362782	0.931624168	0.907077333	0.899595057	0.804826457
S1451	0.875445025	0.850645776	0.867451383	0.894727538	0.801232823	1	0.824649026	0.966278911	0.888533474	0.85698408	0.983286725	0.820322748	0.824483131	0.830298318	0.802359448	0.999455072	0.884125494	0.828762348	0.893251445	0.903330555	0.855291563	0.923568671	0.904941945	0.951655045	0.844257519	0.92024589	0.790573415	0.932870864	0.926627013	0.875675432	0.875632155	0.994367682	0.923306958	0.79470548	0.977910994	0.855352999	0.881635006	0.867323391	0.810102562
S8057	0.914046939	0.833425823	0.923359255	0.927840477	0.855079668	0.957087021	0.798712642	0.939649853	0.808699194	0.997373517	0.840508928	0.844207702	0.969221109	0.862593436	0.971975985	0.908549539	0.974604118	0.857126884	0.869996529	0.863259432	0.925044648	0.956741143	0.873268888	0.86404838	0.896215549	0.938766499	0.936853565	0.91112762	0.915365998	0.884783665	0.897147876	0.918100086	0.83891257	0.860309628	0.983659449	1	0.911829344	0.886614923	0.980546305
S7588	0.918061966	0.729639584	0.950438997	0.937108286	0.603192968	0.991734937	0.786151909	0.943087424	0.853373124	0.955830962	0.787532597	0.818129193	0.885171731	0.794962666	0.770875454	0.921800883	0.877507323	0.769124415	0.876554824	0.899088417	0.845236008	1	0.895246396	0.818720361	0.823544383	0.887113522	0.889996024	0.78916034	0.847796562	0.929061954	0.899022917	0.918644575	0.753385707	0.776424346	0.958988759	0.888031024	0.80161451	0.856829012	0.882286298
S1249	0.741397716	0.458020371	0.815810165	0.62352497	0.45463209	0.838643872	0.492588675	0.975342922	0.497123906	0.831125272	0.515775002	0.513859261	0.743454617	0.463671925	0.648810074	0.798129462	0.500600165	0.61862636	0.487035699	0.750462364	0.758286311	0.853369207	0.700724714	0.654323297	1	0.800585833	0.749576723	0.636689145	0.952520493	0.605303394	0.85920128	0.584853695	0.450038542	0.493874294	0.741533578	0.792293371	0.62510943	0.82807538	0.761579484
S7070	0.73954211	0.560648625	0.578311102	0.836873033	0.608755918	0.855451027	0.471890549	0.886832382	0.686263605	0.784032244	0.826755012	0.762805996	0.770959244	0.800218865	0.628480565	1	0.771774756	0.803790893	0.829501771	0.964239845	0.645063827	0.747255163	0.906360415	0.89395417	0.885412528	0.760698285	0.752434464	0.910715952	0.815355382	0.766148166	0.703721275	0.903633069	0.646654906	0.616430175	0.952911271	0.653565273	0.721141846	0.803694618	0.54419414
S2198	0.802941952	0.689964527	0.86770313	0.812964123	0.695575965	0.971726746	0.680225172	0.862918608	0.735575389	0.943856264	0.724683058	0.671879116	0.815242543	0.712088705	0.895400895	0.840060679	0.756335759	0.762134901	0.785063395	0.804869202	0.730227418	0.890181523	0.841222779	0.798539422	0.822105141	0.857892962	0.789150488	0.828160822	0.818882555	0.706763044	0.875733471	0.818123641	0.634211815	0.902508599	0.870412835	0.920535499	0.85297826	0.822122477	0.772822782
S8006	0.701794985	0.541292726	0.868589912	0.71026196	0.622868864	1	0.552418131	0.863731287	0.68875829	0.932200565	0.772747595	0.722563702	0.76787234	0.783039247	0.864326511	0.845937186	0.727594898	0.818135052	0.750910568	0.719771798	0.561556778	0.802997551	0.826887953	0.930972978	0.90537415	0.751385476	0.783558855	0.649704209	0.854846515	0.659319195	0.877863012	0.716686035	0.514416371	0.870600046	0.772896823	0.791886465	0.841455003	0.850842798	0.718666847
S7259	0.618155435	0.580783643	0.729242918	0.636815073	0.46806974	0.787207388	0.61995972	0.902742417	0.636692217	0.702336504	0.683507343	0.489196389	0.757549397	0.608201669	0.573532165	0.982461806	0.594693522	0.670081911	0.603391474	0.679638921	0.664313814	0.811429487	0.730119713	0.724358651	0.806362151	0.834090382	0.697091025	0.981521111	0.728876201	0.724008046	0.713041531	0.820035824	0.575311059	0.661840454	1	0.600483542	0.787764316	0.727943093	0.580577887
S7816	0.586211658	0.540966126	0.691120607	0.538349971	0.465537426	0.746646702	0.617848626	0.784846758	0.499016352	0.690667912	0.610819426	0.534419083	0.685264113	0.573934221	0.543577588	0.652514017	0.612595273	0.561776769	0.628827123	0.606847208	0.476434462	0.751918015	0.654081814	0.657656819	0.672679689	0.749659788	0.672964068	0.687480031	0.569467245	0.452903406	0.659219426	0.584657637	0.430496571	0.551989138	0.669976447	0.764943644	0.702537583	0.668018803	0.618754299
